,Care Home Name,street,suburb,city,PostCode,Specialisms,Local authority area,phone Number,email,Website URL
129,Wyncroft House,16 Moss Grove,Not Specified,CH Town,DY6 9HU,Nursing,Dudley,01384 291688,manager@wyncrofthouse.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/59
130,Birchams Grange,Clenchers Lane,Eastnor,CH Town,HR8 1RW,Not Specified,Herefordshire,01531 632925,jane@haswellhealthcare.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/1
131,Brockhampton Court Nursing Home,Brockhampton,Not Specified,CH Town,HR1 4TQ,Nursing,Herefordshire,01989 740239,charlene@brockhamptoncourt.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/2
132,Charnwood Country Residential,Much Dewchurch,King's Thorn,CH Town,HR2 8DL,Not Specified,Herefordshire,01981 540291,charnwood@herefordshirecarehomes.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/3
133,Coldwells House & The Stables,Coldwell's Road,Holmer,CH Town,HR1 1LH,Nursing,Herefordshire,01432 272414,coldwellhouse@herefordshirecarehomes.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/4
134,Dulas Court,Dulas,Ewyas Harold,CH Town,HR2 0HL,Not Specified,Herefordshire,01981 240214,dulascourt@herefordshirecarehomes.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/5
135,Evendine House Residential Home,Evendine House,"Evendine Lane, Colwall",CH Town,WR13 6DT,Dementia,Herefordshire,01684 540225,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/6
136,Field Farm House Residential,Hampton Bishop,Not Specified,CH Town,HR1 4JP,Nursing,Herefordshire,01432 273064,manager@fieldfarmhouse.net,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/7
137,Forbury The,Church Street,Not Specified,CH Town,HR6 8NQ,Dementia,Herefordshire,01568 613877,gen.forbury@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/8
138,Froome Bank,Tower Hill,Not Specified,CH Town,HR7 4DF,Not Specified,Herefordshire,01885 483469,froome.bank@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/9
139,Garth Care Home The,The Square,Not Specified,CH Town,HR5 3BA,Nursing,Herefordshire,01544 230502,enquiries@garthcareservices.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/10
140,Hazelhurst Nursing Home,Bishopswood,Not Specified,CH Town,HR9 5QX,Nursing,Herefordshire,01600 890600,hazelhurst@herefordshirecarehomes.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/11
141,Highwell House,32 Highwell Lane,Not Specified,CH Town,HR7 4DG,Nursing,Herefordshire,01885 488282,highwellhouse@herefordshirecarehomes.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/12
142,Hillside Care Centre,9 Pentwyn Avenue,Not Specified,CH Town,HR2 7LB,Not Specified,Herefordshire,01432 261627,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/13
143,Hillside Care Centre (alt service use other Hillside Care Centre),9 Pentwyn Avenue,Not Specified,CH Town,HR2 7LB,Not Specified,Herefordshire,01432 261627,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/14
144,Holmer Care Centre,Leominster Road,Holmer,CH Town,HR4 9RG,Nursing,Herefordshire,01432 344012,manager@holmernursinghome.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/15
145,Holmer Court,Attwood Lane,Not Specified,CH Town,HR1 1LJ,Dementia,Herefordshire,01432 351335,rspalding@ashberry.net,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/16
146,Hoople Ltd,Plough Lane,Not Specified,CH Town,HR4 0LE,Learning Disabilities,Herefordshire,01432 383678,enquires@hoopleltd.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/17
147,Ledbury Intermediate Care Unit,Ledbury Community Health & Care Centre,Market Street,CH Town,HR8 2AQ,Nursing,Herefordshire,01531 637600,ledbury.icumanager@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/18
148,Ledbury Nursing Home,Ledbury Community Health & Care Centre,Market Street,CH Town,HR8 2AQ,Nursing,Herefordshire,01531 637600,ledburynhm@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/19
149,Market Lodge,Ledbury Community Health & Care Centre,Market Street,CH Town,HR8 2AQ,Nursing,Herefordshire,01531 637618,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/20
150,Moor Court (Innovation Care),Moor Court Residential Home,Bodenham,CH Town,HR1 3HW,Learning Disabilities,Herefordshire,01568 797461,moor-court@btconnect.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/21
151,Newstead House,43 Venns Lane,Not Specified,CH Town,HR1 1DT,Nursing,Herefordshire,01432 263131,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/22
152,Old Court Barn,Old Court Barn,Lumber Lane,CH Town,HR1 4AQ,Learning Disabilities,Herefordshire,01432 851260,oldcourtbarn@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/23
153,Orchard House,The Walk,Withington,CH Town,HR1 3PR,Not Specified,Herefordshire,01432 850671,orchard.house@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/24
154,Venns Lane Care Home,47 Venns Lane,Not Specified,CH Town,HR1 1DT,Dementia,Herefordshire,01432 345181,info@vennslane.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/25
155,Waverley House,Etnam Street,Not Specified,CH Town,HR6 8AQ,Nursing,Herefordshire,01568 612126,waverley.house@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/26
156,West Eaton House,West Eaton House,Worcester Road,CH Town,HR6 0QJ,Nursing,Herefordshire,01568 610395,roddyf@heritagemanor.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/27
157,Whitegates,25 Hereford Road,Not Specified,CH Town,HR7 4ES,Dementia,Herefordshire,01885 482437,whitegates@herefordshirecarehomes.com,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/28
158,Wykenhurst,17-19 Baggallay Street,Not Specified,CH Town,HR4 0DZ,Dementia,Herefordshire,01432 278435,info@wykenhurst.co.uk,https://www.wmca.care/hmfc/directory/carehomes/herefordshire/dp/29
159,Ash lodge Nursing Home,Londonderry Lane,Not Specified,CH Town,B67 7EL,Nursing,Sandwell,0121 5589808,admin@carefirstgroup.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/1
160,Bartholamew Lodge,1 Trouse Lane,Not Specified,CH Town,WS10 7HR,Nursing,Sandwell,0121 5021606,bartholamew@rdcpcare.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/2
161,Bearwood Nursing Home,86 Bearwood Road,Not Specified,CH Town,B66 4HN,Nursing,Sandwell,0121 558 8509,bearwood@rdcpcare.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/3
162,Beechcroft Residential Home,Salop Drive,Not Specified,CH Town,B68 9AG,Not Specified,Sandwell,0121 4292993,chris.lawton@carltoncaregroup.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/4
163,Beeches The,17 Waterfall Lane,Not Specified,CH Town,B65 0BL,Not Specified,Sandwell,0121 5595055,southside.care@btconnect.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/5
164,Caldene Rest Home,27-29 Beeches Road,Not Specified,CH Town,B70 6QE,Not Specified,Sandwell,0121 5005664,caldeneresthome@btconnect.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/6
165,Chance Drive,1 Chance Drive,Not Specified,CH Town,B66 1TT,Learning Disabilities,Sandwell,0121 3575049,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/7
166,Churchfield Court,236 All Saints Way,Not Specified,CH Town,B71 1RR,Not Specified,Sandwell,0121 5885450,churchfieldcourt@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/8
167,Conway House,44 George Road,Not Specified,CH Town,B68 9LH,Learning Disabilities,Sandwell,0121 5521882,conwayhouse44@yahoo.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/9
168,Gable Healthcare Services,Moulton Park Business Centre,Redhouse Road,CH Town,NN3 6AQ,Supported Living,Sandwell,0800 1337 566,info@gablehealthcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/10
169,Gables The (Oldbury),1595 Wolverhampton Road,Not Specified,CH Town,B69 2BJ,Nursing,Sandwell,0121 5443988,kerryjackson@thegablesnursinghome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/11
170,Haven,"The Haven, Newbury Walk",Not Specified,CH Town,B65 9DF,Learning Disabilities,Sandwell,Not Specified,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/12
171,Hill Top Lodge,93-95 Hill Top,Not Specified,CH Town,B70 0PX,Not Specified,Sandwell,0121 5563322,hilltop@pressbeau.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/13
172,Inshore Support Limited - 1 Whitehall Road,1 Whitehall Road,Not Specified,CH Town,B64 5BG,Supported Living,Sandwell,01384 357933,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/14
173,Inshore Support Limited - 10 Beeches Road,Beeches Road,Not Specified,CH Town,B65 0BB,Supported Living,Sandwell,0121 5594384,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/15
174,Inshore Support Limited - 5 Trinity Street,5 Trinity Street,Not Specified,CH Town,B64 6HT,Supported Living,Sandwell,01384 823048,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/16
175,Karenza,14 Waterfall Lane,Not Specified,CH Town,B65 0BL,Not Specified,Sandwell,0121 5611737,janet@jwcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/17
176,Leabrook House,180-181 Leabrook Road,Ocker Hill,CH Town,DY4 0DY,Nursing,Sandwell,0121 5565685,Leabrookhouse1@yahoo.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/18
177,Newbury Manor Care Home (Superior Care),Newbury Lane,Not Specified,CH Town,B69 1HE,Nursing,Sandwell,0121 5321632,manager@newburyhome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/19
178,Poplars The,66 South Road,Smethwick,CH Town,B67 7BP,Nursing,Sandwell,0121 5580962,manager@poplarscare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/20
179,Portway House Specialist Centre,Newbury Lane,Not Specified,CH Town,B69 1HE,Nursing,Sandwell,0121 7400738,admin@portwayhouse.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/21
180,Princess Lodge Care Home,11 High Street,Princes End,CH Town,DY4 9HU,Nursing,Sandwell,0121 5571176,Luanne@friendlycare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/22
181,Richmond Court ( WB ),33-35 Beeches Road,Not Specified,CH Town,B70 6QE,Not Specified,Sandwell,0121 5005448,richmond@rdcpcare.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/23
182,Shrubbery The,33 Woodgreen Road,Not Specified,CH Town,WS10 9QL,Not Specified,Sandwell,0121 5568899,joy@winchester-care.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/24
183,Tendercare Home Ltd,237-239 Oldbury Road,Not Specified,CH Town,B65 0PP,Not Specified,Sandwell,0121 5614984,tendercarehomeltd@hotmail.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/25
184,Valley Court Care Home,Valley Road,Not Specified,CH Town,B64 7LT,Nursing,Sandwell,01384 411477,admin.valleycourt@mwphillips.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/26
185,Whitehall Lodge Res Care Home,109 Whitehall Road,Not Specified,CH Town,B70 0HG,Learning Disabilities,Sandwell,0121 5326003,p.gunputh@btopenworld.com,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/27
186,Willows The (Birmingham),170 Newton Road,Great Barr,CH Town,B43 6BU,Learning Disabilities,Sandwell,0121 3570124,karen.godwin@willowscare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/28
187,Woodgreen Nursing Home,27 Wood Green Road,Not Specified,CH Town,WS10 9AX,Nursing,Sandwell,0121 5560381,chris@friendlycare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/sandwell/dp/29
188,Birchmere House Care Home,1270 Warwick Road,Knowle,CH Town,B93 9LQ,Nursing,Solihull,01564 732400,birchmerehouse.admin@averyhealthcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/1
189,Birchmere Mews,1270 Warwick Road,Knowle,CH Town,B93 9LQ,Dementia,Solihull,01564 732660,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/2
190,Birchmere Mews (alt service use other Birchmere Mews),1270 Warwick Road,Knowle,CH Town,B93 9LQ,Dementia,Solihull,01564 732660,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/3
191,Blossomfield Rose Care Home,Blossomfield Road,Blossomfield Park,CH Town,B91 1FN,Nursing,Solihull,0121 796 6490,blossomfieldrose.manager@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/4
192,Blythe Rose Care Home,Woodview Rise,Blythe Valley Park,CH Town,B90 8DQ,Dementia,Solihull,0330 107 5947,info@blytherose.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/5
193,Connaught House Care Home,The Green,Stratford Road,CH Town,B90 4LA,Not Specified,Solihull,0121 5141051,joy@restfulhomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/6
194,Eastcote Park Care Home,Knowle Road,Eastcote,CH Town,B92 0JA,Dementia,Solihull,0121 2691236,eastcote@cinnamoncc.com,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/7
195,Elmdon House,190 Elmdon Lane,Marston green,CH Town,B37 7EB,Learning Disabilities,Solihull,0121 7888356,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/8
196,Foundation of Lady Katherine Leveson The,Masters House,"Kenilworth Road, Knowle",CH Town,B93 0AL,Not Specified,Solihull,01564 772850,tblancaflor@leveson.org.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/9
197,Jobs Close Residential Home,Lodge Road,Knowle,CH Town,B93 0HF,Not Specified,Solihull,01564 773499,enquiries@jobsclose.org.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/10
198,Knowle Gate Care Home,1331 Warwick Road,Knowle,CH Town,B93 9LW,Nursing,Solihull,01564 332233,Maria.Willis@averyhealthcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/11
199,Knowle Gate Care Home (alt service use other Knowle Gate),1331 Warwick Road,Knowle,CH Town,B93 9LW,Nursing,Solihull,01564 332233,Maria.Willis@averyhealthcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/12
200,Lyndon Croft Care Centre,144 Ulleries road,Not Specified,CH Town,B92 8ED,Dementia,Solihull,0121 7423562,lyndoncroft@prime-life.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/13
201,Lynncare 2000 Limited,573 Chester Road,Kingshurst,CH Town,B36 0JU,Learning Disabilities,Solihull,0121 7794821,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/14
202,Maples Residential Care Home Ltd The,10 Maple Leaf Drive,Marston Green,CH Town,B37 7JB,Learning Disabilities,Solihull,0121 7708931,Management@themaplescare.com,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/15
203,Prince of Wales Nursing Home,246 Prince of Wales Lane,Solihull Lodge,CH Town,B14 4LJ,Nursing,Solihull,0121 4366464,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/16
204,Rayner House & Yew Trees Ltd,3-5 Damson Parkway,Not Specified,CH Town,B91 2PP,Not Specified,Solihull,0121 7059293,businessmanager@raynerhouse.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/17
205,St Bernards Residential Care Home,76 St Bernards Road,Olton,CH Town,B92 7BP,Dementia,Solihull,0121 7080177,info@stbernardscare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/18
206,St George's Home,116 Marshall Lake Road,Shirley,CH Town,B90 4PW,Not Specified,Solihull,0121 7454955,info@stgeorgeshome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/19
207,St Michael's Home (Solihull),251 Warwick Road,Olton,CH Town,B92 7AH,Not Specified,Solihull,0121 7079697,info@stmichaelshome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/20
208,Swallows Meadow Court,33 Swallows Meadow,Shirley,CH Town,B90 4PH,Nursing,Solihull,0121 746 6000,SMNHreception@solihullcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/21
209,Tanworth Court Nursing Home,Tanworth Court Nursing Home,"Tanworth Lane, Shirley",CH Town,B90 4DD,Nursing,Solihull,0121 3892266,tanworthcourt@prime-life.co.uk,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/22
210,Tudor Coppice (Royal Star and Garter),Tudor Coppice,Monkspath Hall Road,CH Town,B91 3DE,Nursing,Solihull,0121 7116330,amie.stubbs@starandgarter.org,https://www.wmca.care/hmfc/directory/carehomes/solihull/dp/23
211,Aldridge Court Nursing Home,Little Aston Road,Aldridge,CH Town,WS9 0NN,Nursing,Walsall,01922 455731,amy.purewal@aldridgecourt.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/1
212,Anson Court,Harden Road,Bloxwich,CH Town,WS3 1BT,Not Specified,Walsall,01922 409444,hwhitehouse@capitalcaregroup.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/2
213,Bush Home Ltd,37-39 Bush Street,Not Specified,CH Town,WS10 8LE,Not Specified,Walsall,0121 5265914,bushresidential@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/3
214,Castlehill Specialist Care Centre,390 Chester Road,Stonnall,CH Town,WS9 9DE,Nursing,Walsall,01543 331909,deb@resfulhomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/4
215,Cottage Nursing Home,57-58 Blakenall Heath,Bloxwich,CH Town,WS3 1HS,Nursing,Walsall,01922 712610,sherlock12@btconnect.com,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/5
216,Drake Court,Drake Close,Bloxwich,CH Town,WS3 3LW,Not Specified,Walsall,01922 476060,drakecourtrh@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/6
217,Ebenezer House,85 Bilston Lane,Not Specified,CH Town,WV13 2LJ,Learning Disabilities,Walsall,01902 606535,samantha.killian@dignushealthcare.com,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/7
218,Harmony Care Home - Highgate Road,91 Highgate Road,Not Specified,CH Town,WS1 3JA,Learning Disabilities,Walsall,01922 474336,fredc@btinternet.com,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/8
219,Hawthorns Aldridge Care Home,Erdington Road,Aldridge,CH Town,WS9 8UH,Not Specified,Walsall,01922 451882,katie.gilligan@averyhealthcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/9
220,Homestead Services Ltd,208 Ogley Road,Not Specified,CH Town,WS8 6AN,Not Specified,Walsall,01543 360120,homestead@kpsk.care,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/10
221,Kingsway Care Home,69 Bilston Lane,Not Specified,CH Town,WV13 2LJ,Learning Disabilities,Walsall,01902 411890,kingelshaddai@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/11
222,Oak Lodge Residential Home,1A Adams Road,Shire Oak,CH Town,WS8 7AL,Not Specified,Walsall,01543 372078,oaklodge1a@yahoo.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/12
223,Pelsall Hall,Paradise Lane,Pelsall,CH Town,WS3 4JW,Not Specified,Walsall,01922 693399,wendy.clifton@greensleeves.org.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/13
224,Rushall Care Centre,204 Lichfield Road,Not Specified,CH Town,WS4 1SA,Nursing,Walsall,01922 635328,Rushall@navigationcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/14
225,School House,2 Hawbush Road,Hawbush Road,CH Town,WS3 1AG,Learning Disabilities,Walsall,0121 3575049,admin@dignushealthcare.com,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/15
226,Willow Rose Care Home,10 Stroud Avenue,Short Heath,CH Town,WV12 4ET,Not Specified,Walsall,01922 270920,willow.admin@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/16
227,Rowanbrook Care Home,300-310 Wolverhampton Road West,Not Specified,CH Town,WS2 0DS,Dementia,Walsall,01902 931200,adminmanager@rowanbrookcarehome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/walsall/dp/17
228,Eversleigh Nursing Home,2-4 Clarendon Place,Not Specified,CH Town,CV32 5QN,Nursing,Warwickshire,01926 424431,office@eversleighnursinghome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/warwickshire/dp/1
229,Gainsborough Hall Care Home,Russell Street,Not Specified,CH Town,CV32 5QB,Not Specified,Warwickshire,01926 680810,Zoe@restfulhomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/warwickshire/dp/2
230,Haven (The) Nursing Home,New Road,Ash Green,CH Town,CV7 9AS,Nursing,Warwickshire,02476 368100,office@thehavennursinghome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/warwickshire/dp/3
231,Lanesborough House Care Home,Lanesborough House,"Birmingham Road, Coleshill",CH Town,B46 1DJ,Not Specified,Warwickshire,01675 661041,Lanesboroughhouse@restfulhomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/warwickshire/dp/4
232,Orton Manor Nursing Home,64-70 Birmingham Road,Water Orton,CH Town,B46 1TH,Nursing,Warwickshire,0121 7494209,ortonmanor@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/warwickshire/dp/5
233,Studley Rose Care Home,Pool Road,Not Specified,CH Town,B80 7QU,Nursing,Warwickshire,07483 046156,studleyrose.manager@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/warwickshire/dp/6
234,Aldergrove Manor nursing home,280A Penn Road,Penn,CH Town,WV4 4AD,Nursing,Wolverhampton,01902 621840,aldergrovemanor.manager@hc-one.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/1
235,Arbour Lodge,92 Richmond Road,Compton,CH Town,WV3 9JJ,Not Specified,Wolverhampton,01902 771136,caremanager@arbourlodge.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/2
236,Arden Manor Care Home,67-69 Birmingham New Road,Lanesfield,CH Town,WV4 6BP,Not Specified,Wolverhampton,01902 498820,arden.manor@yahoo.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/3
237,Ashley Court Care Home,251 Penn Road,Penn,CH Town,WV4 5SF,Not Specified,Wolverhampton,01902 335584,ashleycourtcare@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/4
238,Aspen lodge,Upper Zoar Street,Not Specified,CH Town,WV3 0JH,Not Specified,Wolverhampton,01902 444069,aspen@angelcarehomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/5
239,Atholl House,98-100 Richmond Road,Compton,CH Town,WV3 9JJ,Nursing,Wolverhampton,01902 599900,enquiries@athollhousenh.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/6
240,Belvidere Court Nursing Home,Woodcross Street,Bilston,CH Town,WV14 9RT,Nursing,Wolverhampton,01902 662166,manager@belviderecourt.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/7
241,Bethrey House,43 Goldthorn Hill,Penn,CH Town,WV2 3HR,Not Specified,Wolverhampton,01902 338213,bethrey@qualityhomesuk.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/8
242,Caram Ltd (HQ),Atholl House Nursing Home,"98-100 Richmond Road, Compton",CH Town,WV3 9JJ,Not Specified,Wolverhampton,Not Specified,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/9
243,Charnwood,7 Finchfield Road,Finchfield,CH Town,WV3 9LS,Not Specified,Wolverhampton,01902 424579,caremanager@charnwoodcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/10
244,Coach House The,60 Goldthorn Hill,Not Specified,CH Town,WV2 3HU,Learning Disabilities,Wolverhampton,01902 343000,coachhousecare@select-group.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/11
245,Coachmans Cottage,168B Goldthorn Hill,Penn,CH Town,WV2 4PR,Not Specified,Wolverhampton,01902 621010,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/12
246,Coton Grange,Stockwell End,Tettenhall,CH Town,WV6 9PH,Not Specified,Wolverhampton,01902 757785,info@cotongrange.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/13
247,Croft Residential Home,20 Castlecroft Road,Finchfield,CH Town,WV3 8BT,Not Specified,Wolverhampton,01902 380022,manager@croftresidentialhome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/14
248,East Park Court Residential Care Home,29 Holloway Street,Bilston,CH Town,WV1 2SY,Dementia,Wolverhampton,01902 494525,joanne.hollington@sanctuary-housing.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/15
249,Elms Residential Home The,13 Regent Street,Not Specified,CH Town,WV14 6AP,Not Specified,Wolverhampton,01902 491890,theelmsresidential@outlook.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/16
250,Eversleigh Care Centre,52-62 Albert Road,West Park,CH Town,WV6 0AF,Nursing,Wolverhampton,01902 426323,office@eversleighcarecentre.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/17
251,Glenthorne House Residential Home Ltd,2 Dover Street,Wolverhampton,CH Town,WV14 6AL,Not Specified,Wolverhampton,01902 491633,gcs_ltd@outlook.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/18
252,Goldthorn Lodge,10 Needwood Close,Penn,CH Town,WV2 4PP,Learning Disabilities,Wolverhampton,01902 621010,Chris.smith@goldthornldoge.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/19
253,Inshore Support Limited - 110 Wellington Road,110 Wellington Road,Bilston,CH Town,WV14 6AZ,Supported Living,Wolverhampton,01902 354481,bhanishawhiting@inshoresupportltd.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/20
254,Inspirations residential care home,171 Tettenhall Road,Tettenhall,CH Town,WV6 0BZ,Not Specified,Wolverhampton,01902 710938,admin@inspirationsch.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/21
255,Knoll House,The Avenue,Penn,CH Town,WV4 5HW,Nursing,Wolverhampton,01902 330559,knollmanager@edgeviewhomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/22
256,Langdale and Keswick (Parkfields),15-17 Parkfields Crescent,Parkfields,CH Town,WV2 2DF,Not Specified,Wolverhampton,01902 405031,rachel.craven@jaffraycare.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/23
